food_name,kcal_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g
"Squash, winter, butternut, raw",48.13,1.15,10.51,0.17
"Squash, winter, acorn, raw",48.56,1.25,10.48,0.18
"Cabbage, bok choy, raw",20.26,1.02,3.51,0.23
"Cauliflower, raw",27.59,1.64,4.72,0.24
"Collards, raw",46.89,2.97,7.02,0.77
"Brussels sprouts, raw",59.49,3.98,9.62,0.57
"Beets, raw",44.62,1.69,8.79,0.30
"Eggplant, raw",26.08,0.85,5.40,0.12
"Tomatoes, whole, canned, solids and liquids, with salt added",22.48,0.87,4.29,0.21
"Tomato, sauce, canned, with salt added",34.18,1.35,6.33,0.38
"Tomato, paste, canned, without salt added",104.28,4.23,20.19,0.73
"Tomatoes, crushed, canned",37.88,1.44,7.14,0.40
"Tomato, puree, canned",40.85,1.58,8.04,0.27
"Apricot, with skin, raw",48.45,0.96,10.24,0.41
"Melons, honeydew, raw",36.67,0.53,8.15,0.22
"Plantains, ripe, raw",136.47,1.16,30.95,0.89
"Plantains, underripe, raw",145.43,1.23,33.59,0.69
"Chia seeds, dry, raw",517.15,17.01,38.27,32.89
"Bulgur, dry, raw",372.34,11.76,75.88,2.42
"Wild rice, dry, raw",369.16,12.79,75.67,1.70
"Arugula, baby, raw",30.99,1.65,5.37,0.33
"Asparagus, green, raw",28.10,1.44,5.10,0.22
"Avocado, Hass, peeled, raw",223.33,1.81,8.32,20.31
"Rice, black, unenriched, raw",369.97,7.57,77.19,3.44
"Corn, sweet, yellow and white kernels,  fresh, raw",84.55,2.79,14.69,1.63
"Einkorn, grain, dry, raw",369.38,15.12,68.65,3.81
"Farro, pearled, dry, raw",367.01,12.64,72.13,3.10
"Fonio, grain, dry, raw",369.13,7.17,81.31,1.69
"Khorasan, grain, dry, raw",371.40,14.76,71.79,2.80
"Kiwifruit (kiwi), green, peeled, raw",65.06,1.01,13.82,0.64
"Mandarin, seedless, peeled, raw",61.96,1.04,13.42,0.46
"Mango, Tommy Atkins, peeled, raw",68.46,0.56,15.27,0.57
